occupation,race,employee_new,year
"Management, business, and financial operations occupations",Black or African American,6000,2020
Professional and related occupations,Black or African American,5000,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,4000,2020
Sales and related occupations,Black or African American,1000,2020
Office and administrative support occupations,Black or African American,1000,2020
"Farming, fishing, and forestry occupations",Black or African American,38000,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,3000,2020
Production occupations,Black or African American,2000,2020
Transportation and material moving occupations,Black or African American,4000,2020
"Management, business, and financial operations occupations",Black or African American,4000,2020
Professional and related occupations,Black or African American,2000,2020
Protective service occupations,Black or African American,0,2020
"Service occupations, except protective",Black or African American,0,2020
Sales and related occupations,Black or African American,0,2020
Office and administrative support occupations,Black or African American,0,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,12000,2020
"Installation, maintenance, and repair occupations",Black or African American,2000,2020
Production occupations,Black or African American,3000,2020
Transportation and material moving occupations,Black or African American,8000,2020
"Management, business, and financial operations occupations",Black or African American,80000,2020
Professional and related occupations,Black or African American,25000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,2000,2020
Sales and related occupations,Black or African American,6000,2020
Office and administrative support occupations,Black or African American,19000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,417000,2020
"Installation, maintenance, and repair occupations",Black or African American,52000,2020
Production occupations,Black or African American,11000,2020
Transportation and material moving occupations,Black or African American,31000,2020
"Management, business, and financial operations occupations",Black or African American,148000,2020
Professional and related occupations,Black or African American,130000,2020
Protective service occupations,Black or African American,5000,2020
"Service occupations, except protective",Black or African American,30000,2020
Sales and related occupations,Black or African American,32000,2020
Office and administrative support occupations,Black or African American,103000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,22000,2020
"Installation, maintenance, and repair occupations",Black or African American,65000,2020
Production occupations,Black or African American,744000,2020
Transportation and material moving occupations,Black or African American,212000,2020
"Management, business, and financial operations occupations",Black or African American,96000,2020
Professional and related occupations,Black or African American,88000,2020
Protective service occupations,Black or African American,1000,2020
"Service occupations, except protective",Black or African American,15000,2020
Sales and related occupations,Black or African American,12000,2020
Office and administrative support occupations,Black or African American,55000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,15000,2020
"Installation, maintenance, and repair occupations",Black or African American,45000,2020
Production occupations,Black or African American,424000,2020
Transportation and material moving occupations,Black or African American,117000,2020
"Management, business, and financial operations occupations",Black or African American,53000,2020
Professional and related occupations,Black or African American,42000,2020
Protective service occupations,Black or African American,4000,2020
"Service occupations, except protective",Black or African American,15000,2020
Sales and related occupations,Black or African American,20000,2020
Office and administrative support occupations,Black or African American,48000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,7000,2020
"Installation, maintenance, and repair occupations",Black or African American,20000,2020
Production occupations,Black or African American,320000,2020
Transportation and material moving occupations,Black or African American,96000,2020
"Management, business, and financial operations occupations",Black or African American,117000,2020
Professional and related occupations,Black or African American,121000,2020
Protective service occupations,Black or African American,9000,2020
"Service occupations, except protective",Black or African American,80000,2020
Sales and related occupations,Black or African American,948000,2020
Office and administrative support occupations,Black or African American,230000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,11000,2020
"Installation, maintenance, and repair occupations",Black or African American,37000,2020
Production occupations,Black or African American,62000,2020
Transportation and material moving occupations,Black or African American,615000,2020
"Management, business, and financial operations occupations",Black or African American,28000,2020
Professional and related occupations,Black or African American,17000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,7000,2020
Sales and related occupations,Black or African American,51000,2020
Office and administrative support occupations,Black or African American,34000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,8000,2020
Production occupations,Black or African American,19000,2020
Transportation and material moving occupations,Black or African American,129000,2020
"Management, business, and financial operations occupations",Black or African American,89000,2020
Professional and related occupations,Black or African American,104000,2020
Protective service occupations,Black or African American,7000,2020
"Service occupations, except protective",Black or African American,73000,2020
Sales and related occupations,Black or African American,896000,2020
Office and administrative support occupations,Black or African American,196000,2020
"Farming, fishing, and forestry occupations",Black or African American,2000,2020
Construction and extraction occupations,Black or African American,10000,2020
"Installation, maintenance, and repair occupations",Black or African American,29000,2020
Production occupations,Black or African American,43000,2020
Transportation and material moving occupations,Black or African American,486000,2020
"Management, business, and financial operations occupations",Black or African American,117000,2020
Professional and related occupations,Black or African American,40000,2020
Protective service occupations,Black or African American,9000,2020
"Service occupations, except protective",Black or African American,25000,2020
Sales and related occupations,Black or African American,27000,2020
Office and administrative support occupations,Black or African American,399000,2020
"Farming, fishing, and forestry occupations",Black or African American,1000,2020
Construction and extraction occupations,Black or African American,21000,2020
"Installation, maintenance, and repair occupations",Black or African American,52000,2020
Production occupations,Black or African American,47000,2020
Transportation and material moving occupations,Black or African American,862000,2020
"Management, business, and financial operations occupations",Black or African American,59000,2020
Professional and related occupations,Black or African American,98000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,6000,2020
Sales and related occupations,Black or African American,23000,2020
Office and administrative support occupations,Black or African American,67000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,2000,2020
"Installation, maintenance, and repair occupations",Black or African American,39000,2020
Production occupations,Black or African American,2000,2020
Transportation and material moving occupations,Black or African American,0,2020
"Management, business, and financial operations occupations",Black or African American,461000,2020
Professional and related occupations,Black or African American,97000,2020
Protective service occupations,Black or African American,17000,2020
"Service occupations, except protective",Black or African American,33000,2020
Sales and related occupations,Black or African American,190000,2020
Office and administrative support occupations,Black or African American,274000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,7000,2020
"Installation, maintenance, and repair occupations",Black or African American,20000,2020
Production occupations,Black or African American,6000,2020
Transportation and material moving occupations,Black or African American,10000,2020
"Management, business, and financial operations occupations",Black or African American,366000,2020
Professional and related occupations,Black or African American,482000,2020
Protective service occupations,Black or African American,183000,2020
"Service occupations, except protective",Black or African American,320000,2020
Sales and related occupations,Black or African American,38000,2020
Office and administrative support occupations,Black or African American,296000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,13000,2020
"Installation, maintenance, and repair occupations",Black or African American,31000,2020
Production occupations,Black or African American,30000,2020
Transportation and material moving occupations,Black or African American,109000,2020
"Management, business, and financial operations occupations",Black or African American,517000,2020
Professional and related occupations,Black or African American,2282000,2020
Protective service occupations,Black or African American,31000,2020
"Service occupations, except protective",Black or African American,1598000,2020
Sales and related occupations,Black or African American,16000,2020
Office and administrative support occupations,Black or African American,471000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,16000,2020
"Installation, maintenance, and repair occupations",Black or African American,26000,2020
Production occupations,Black or African American,24000,2020
Transportation and material moving occupations,Black or African American,74000,2020
"Management, business, and financial operations occupations",Black or African American,190000,2020
Professional and related occupations,Black or African American,75000,2020
Protective service occupations,Black or African American,12000,2020
"Service occupations, except protective",Black or African American,855000,2020
Sales and related occupations,Black or African American,175000,2020
Office and administrative support occupations,Black or African American,81000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
Construction and extraction occupations,Black or African American,5000,2020
"Installation, maintenance, and repair occupations",Black or African American,6000,2020
Production occupations,Black or African American,19000,2020
Transportation and material moving occupations,Black or African American,47000,2020
"Management, business, and financial operations occupations",Black or African American,77000,2020
Professional and related occupations,Black or African American,108000,2020
Protective service occupations,Black or African American,2000,2020
"Service occupations, except protective",Black or African American,271000,2020
Sales and related occupations,Black or African American,34000,2020
Office and administrative support occupations,Black or African American,42000,2020
"Farming, fishing, and forestry occupations",Black or African American,0,2020
