,occupation,gender,employee_new,year
231,"Management, business, and financial operations occupations",Men,707000,2020
232,Professional and related occupations,Men,36000,2020
233,Protective service occupations,Men,11000,2020
234,"Service occupations, except protective",Men,52000,2020
235,Sales and related occupations,Men,6000,2020
236,Office and administrative support occupations,Men,16000,2020
237,"Farming, fishing, and forestry occupations",Men,714000,2020
238,Construction and extraction occupations,Men,10000,2020
239,"Installation, maintenance, and repair occupations",Men,31000,2020
240,Production occupations,Men,36000,2020
241,Transportation and material moving occupations,Men,80000,2020
242,"Management, business, and financial operations occupations",Men,104000,2020
243,Professional and related occupations,Men,90000,2020
244,Protective service occupations,Men,1000,2020
245,"Service occupations, except protective",Men,4000,2020
246,Sales and related occupations,Men,9000,2020
247,Office and administrative support occupations,Men,11000,2020
248,"Farming, fishing, and forestry occupations",Men,0,2020
249,Construction and extraction occupations,Men,200000,2020
250,"Installation, maintenance, and repair occupations",Men,38000,2020
251,Production occupations,Men,56000,2020
252,Transportation and material moving occupations,Men,72000,2020
253,"Management, business, and financial operations occupations",Men,1894000,2020
254,Professional and related occupations,Men,256000,2020
255,Protective service occupations,Men,10000,2020
256,"Service occupations, except protective",Men,32000,2020
257,Sales and related occupations,Men,112000,2020
258,Office and administrative support occupations,Men,101000,2020
259,"Farming, fishing, and forestry occupations",Men,6000,2020
260,Construction and extraction occupations,Men,6157000,2020
261,"Installation, maintenance, and repair occupations",Men,604000,2020
262,Production occupations,Men,147000,2020
263,Transportation and material moving occupations,Men,294000,2020
264,"Management, business, and financial operations occupations",Men,1831000,2020
265,Professional and related occupations,Men,1722000,2020
266,Protective service occupations,Men,26000,2020
267,"Service occupations, except protective",Men,111000,2020
268,Sales and related occupations,Men,402000,2020
269,Office and administrative support occupations,Men,466000,2020
270,"Farming, fishing, and forestry occupations",Men,15000,2020
271,Construction and extraction occupations,Men,287000,2020
272,"Installation, maintenance, and repair occupations",Men,607000,2020
273,Production occupations,Men,3857000,2020
274,Transportation and material moving occupations,Men,932000,2020
275,"Management, business, and financial operations occupations",Men,1197000,2020
276,Professional and related occupations,Men,1305000,2020
277,Protective service occupations,Men,12000,2020
278,"Service occupations, except protective",Men,50000,2020
279,Sales and related occupations,Men,257000,2020
280,Office and administrative support occupations,Men,290000,2020
281,"Farming, fishing, and forestry occupations",Men,7000,2020
282,Construction and extraction occupations,Men,221000,2020
283,"Installation, maintenance, and repair occupations",Men,383000,2020
284,Production occupations,Men,2562000,2020
285,Transportation and material moving occupations,Men,530000,2020
286,"Management, business, and financial operations occupations",Men,634000,2020
287,Professional and related occupations,Men,417000,2020
288,Protective service occupations,Men,13000,2020
289,"Service occupations, except protective",Men,61000,2020
290,Sales and related occupations,Men,145000,2020
291,Office and administrative support occupations,Men,176000,2020
292,"Farming, fishing, and forestry occupations",Men,8000,2020
293,Construction and extraction occupations,Men,66000,2020
294,"Installation, maintenance, and repair occupations",Men,224000,2020
295,Production occupations,Men,1295000,2020
296,Transportation and material moving occupations,Men,402000,2020
297,"Management, business, and financial operations occupations",Men,940000,2020
298,Professional and related occupations,Men,559000,2020
299,Protective service occupations,Men,49000,2020
300,"Service occupations, except protective",Men,265000,2020
301,Sales and related occupations,Men,4491000,2020
302,Office and administrative support occupations,Men,680000,2020
303,"Farming, fishing, and forestry occupations",Men,27000,2020
304,Construction and extraction occupations,Men,124000,2020
305,"Installation, maintenance, and repair occupations",Men,640000,2020
306,Production occupations,Men,373000,2020
307,Transportation and material moving occupations,Men,2488000,2020
308,"Management, business, and financial operations occupations",Men,340000,2020
309,Professional and related occupations,Men,106000,2020
310,Protective service occupations,Men,7000,2020
311,"Service occupations, except protective",Men,28000,2020
312,Sales and related occupations,Men,855000,2020
313,Office and administrative support occupations,Men,159000,2020
314,"Farming, fishing, and forestry occupations",Men,16000,2020
315,Construction and extraction occupations,Men,24000,2020
316,"Installation, maintenance, and repair occupations",Men,140000,2020
317,Production occupations,Men,86000,2020
318,Transportation and material moving occupations,Men,597000,2020
319,"Management, business, and financial operations occupations",Men,600000,2020
320,Professional and related occupations,Men,453000,2020
321,Protective service occupations,Men,42000,2020
322,"Service occupations, except protective",Men,237000,2020
323,Sales and related occupations,Men,3636000,2020
324,Office and administrative support occupations,Men,521000,2020
325,"Farming, fishing, and forestry occupations",Men,10000,2020
326,Construction and extraction occupations,Men,100000,2020
327,"Installation, maintenance, and repair occupations",Men,500000,2020
