occupation,race,employee_new,year
"Management, business, and financial operations occupations",White,926000,2020
Professional and related occupations,White,48000,2020
Protective service occupations,White,12000,2020
"Service occupations, except protective",White,86000,2020
Sales and related occupations,White,11000,2020
Office and administrative support occupations,White,91000,2020
"Farming, fishing, and forestry occupations",White,840000,2020
Construction and extraction occupations,White,8000,2020
"Installation, maintenance, and repair occupations",White,29000,2020
Production occupations,White,35000,2020
Transportation and material moving occupations,White,83000,2020
"Management, business, and financial operations occupations",White,129000,2020
Professional and related occupations,White,85000,2020
Protective service occupations,White,1000,2020
"Service occupations, except protective",White,6000,2020
Sales and related occupations,White,9000,2020
Office and administrative support occupations,White,33000,2020
"Farming, fishing, and forestry occupations",White,0,2020
Construction and extraction occupations,White,188000,2020
"Installation, maintenance, and repair occupations",White,37000,2020
Production occupations,White,51000,2020
Transportation and material moving occupations,White,58000,2020
"Management, business, and financial operations occupations",White,2018000,2020
Professional and related occupations,White,268000,2020
Protective service occupations,White,11000,2020
"Service occupations, except protective",White,41000,2020
Sales and related occupations,White,134000,2020
Office and administrative support occupations,White,500000,2020
"Farming, fishing, and forestry occupations",White,3000,2020
Construction and extraction occupations,White,5660000,2020
"Installation, maintenance, and repair occupations",White,530000,2020
Production occupations,White,128000,2020
Transportation and material moving occupations,White,258000,2020
"Management, business, and financial operations occupations",White,2414000,2020
Professional and related occupations,White,1699000,2020
Protective service occupations,White,27000,2020
"Service occupations, except protective",White,130000,2020
Sales and related occupations,White,547000,2020
Office and administrative support occupations,White,965000,2020
"Farming, fishing, and forestry occupations",White,16000,2020
Construction and extraction occupations,White,264000,2020
"Installation, maintenance, and repair occupations",White,564000,2020
Production occupations,White,4121000,2020
Transportation and material moving occupations,White,852000,2020
"Management, business, and financial operations occupations",White,1491000,2020
Professional and related occupations,White,1234000,2020
Protective service occupations,White,15000,2020
"Service occupations, except protective",White,57000,2020
Sales and related occupations,White,301000,2020
Office and administrative support occupations,White,596000,2020
"Farming, fishing, and forestry occupations",White,6000,2020
Construction and extraction occupations,White,209000,2020
"Installation, maintenance, and repair occupations",White,354000,2020
Production occupations,White,2601000,2020
Transportation and material moving occupations,White,466000,2020
"Management, business, and financial operations occupations",White,923000,2020
Professional and related occupations,White,465000,2020
Protective service occupations,White,12000,2020
"Service occupations, except protective",White,72000,2020
Sales and related occupations,White,246000,2020
Office and administrative support occupations,White,369000,2020
"Farming, fishing, and forestry occupations",White,10000,2020
Construction and extraction occupations,White,56000,2020
"Installation, maintenance, and repair occupations",White,209000,2020
Production occupations,White,1520000,2020
Transportation and material moving occupations,White,386000,2020
"Management, business, and financial operations occupations",White,1341000,2020
Professional and related occupations,White,886000,2020
Protective service occupations,White,56000,2020
"Service occupations, except protective",White,467000,2020
Sales and related occupations,White,6964000,2020
Office and administrative support occupations,White,1574000,2020
"Farming, fishing, and forestry occupations",White,39000,2020
Construction and extraction occupations,White,110000,2020
